,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
3801,560000,EUR,291500,Flybridge,Sunseeker power boats,"Used boat,Diesel",2009,17.6,4.63,GRP,Croatia,44
3803,560000,EUR,291150,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2016,14.92,4.47,PVC,France,100
3804,559500,EUR,290000,Motor Yacht,Belliure power boats,"Used boat,Diesel",2006,18.28,4.8,GRP,Spain,51
3805,559241,EUR,290000,Flybridge,Sealine power boats,"new boat from stock,Diesel",2020,13.55,4.2,GRP,Germany,132
3806,559000,EUR,290000,Flybridge,Galeon power boats,"Used boat,Diesel",2019,13.25,4.16,GRP,Spain,107
3809,553576,EUR,290000,Flybridge,Prestige Yachts power boats,new boat from stock,2020,13.06,4.1,GRP,Netherlands,49
3812,550000,EUR,290000,Motor Yacht,Ferretti power boats,"Used boat,Diesel",1998,22.33,5.68,GRP,Croatia,55
3813,550000,EUR,290000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,18.88,4.75,GRP,Croatia,123
3816,549500,EUR,290000,Flybridge,Azimut power boats,"Used boat,Diesel",2006,19.85,5.06,GRP,Spain,44
3817,549000,EUR,290000,Flybridge,Azimut power boats,"Used boat,Diesel",2006,19.25,5.06,GRP,Croatia,68
3818,549000,EUR,289999,Hardtop,Galeon power boats,"Used boat,Diesel",2016,13.28,4.18,PVC,Belgium,182
3821,549000,EUR,289500,Trawler,Selene power boats,"Used boat,Diesel",2011,15.03,4.78,GRP,Slovenia,125
3822,549000,EUR,289000,Motor Yacht,Princess power boats,"Used boat,Diesel",2005,21.39,5.08,GRP,France,86
3824,499950,Â£,289000,Flybridge,Pearl power boats,"Used boat,Diesel",2013,15.01,4.42,PVC,United state,74
3825,548000,EUR,289000,Flybridge,Astondoa power boats,"Used boat,Diesel",2001,22.34,5.45,GRP,Spain,55
3826,499000,Â£,289000,Flybridge,Sealine power boats,"Used boat,Diesel",2005,18.08,4.87,PVC,United state,26
3828,545000,EUR,289000,Trawler,Verhoeven power boats,Used boat,2005,21,5,Steel,Netherlands,93
3829,545000,EUR,289000,Trawler,Linssen power boats,Used boat,2012,14.45,4.4,Steel,Netherlands,153
3830,545000,EUR,288500,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2018,13.82,4.06,GRP,France,179
3834,540000,EUR,286800,Motor Yacht,Azimut power boats,"Used boat,Diesel",2013,14.98,4.8,GRP,Montenegro,102
3835,540000,EUR,285450,Motor Yacht,Azimut power boats,"Used boat,Diesel",2013,14.98,4.8,GRP,Montenegro,105
3836,540000,EUR,285000,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2000,22,5.67,GRP,Italy,41
3837,540000,EUR,284000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,19.05,4.97,GRP,France,149
3838,539000,EUR,282000,Hardtop,Pershing power boats,"Used boat,Diesel",2008,15.83,4.31,GRP,Spain,129
3839,539000,EUR,280000,Trawler,Valk power boats,Used boat,2006,17.3,4.85,Steel,Netherlands,83
3840,539000,EUR,280000,Flybridge,BÃ©nÃ©teau power boats,Used boat,2014,15.2,4.32,PVC,Netherlands,104
3841,539000,EUR,280000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,19.06,4.9,GRP,Croatia,65
3842,539000,EUR,280000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,14.78,4.2,PVC,France,21
3843,3999000,DKK,280000,Trawler,Integrity power boats,Used boat,2016,14.4,4.35,GRP,Netherlands,66
3846,525000,EUR,280000,Hardtop,Mochi Craft power boats,"Used boat,Diesel",2008,16.46,4.9,GRP,Italy,106
3847,525000,EUR,280000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2014,14.99,4.32,GRP,Italy,188
3848,525000,EUR,280000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2017,13.8,4.37,GRP,Germany,147
3850,525000,EUR,280000,Motor Yacht,Monachus power boats,"Used boat,Diesel",2020,13.85,4.2,GRP,Croatia,180
3851,524400,EUR,280000,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,13.7,3.99,PVC,France,110
3852,475000,Â£,280000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,19.63,5.03,GRP,Croatia,45
3853,520000,EUR,280000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2002,22.54,5.51,GRP,Malta,129
3854,520000,EUR,280000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2016,13.86,4.25,GRP,Croatia,150
3855,520000,EUR,279900,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,15.2,4.5,PVC,Sweden,61
3856,519900,EUR,279000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2013,15.55,4.47,GRP,United state,53
3857,519000,EUR,279000,Sport Boat,Riva power boats,"Used boat,Diesel",2004,16.12,4.57,GRP,Switzerland,413
3858,517000,EUR,279000,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2019,14.78,4.2,PVC,France,33
3859,515000,EUR,279000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.78,4.15,PVC,France,61
3860,515000,EUR,279000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.78,4.15,PVC,France,54
3861,514990,EUR,279000,Motor Yacht,Princess power boats,"Used boat,Diesel",2010,16.2,4.45,GRP,Italy,75
3864,500000,EUR,279000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,19.06,4.9,GRP,Croatia,144
3865,500000,EUR,279000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,16,4.61,GRP,Croatia,147
3866,500000,EUR,278789,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1999,22,5.6,GRP,Italy,43
3868,500000,EUR,278000,Flybridge,Bertram power boats,"Used boat,Diesel",2005,18.29,5.11,PVC,Martinique,67
3873,499999,EUR,278000,"Flybridge,Motor Yacht",BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,16,4.9,GRP,Italy,171
3874,499000,EUR,277000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2015,15.2,4.47,PVC,France,51
3875,499000,EUR,277000,Flybridge,Galeon power boats,"new boat from stock,Diesel",2020,12.5,3.94,GRP,Spain,159
3877,499000,EUR,276200,Flybridge,Galeon power boats,"Used boat,Diesel",2017,13.25,4.16,GRP,Germany,168
3878,498000,EUR,275445,Offshore Boat,Cigarette power boats,"Used boat,Unleaded",2007,15.37,2.38,Carbon Fiber,United state,271
3879,498000,EUR,275000,Flybridge,Fipa Italiana power boats,"Used boat,Diesel",2000,20.8,5.6,GRP,Croatia,43
3880,498000,EUR,275000,Trawler,Smelne power boats,Used boat,2011,15.5,4.55,Steel,Netherlands,39
3881,498000,EUR,275000,Flybridge,Princess power boats,"Used boat,Diesel",2009,15.32,4.57,GRP,Germany,126
3882,495737,EUR,275000,Motor Yacht,Cranchi power boats,Used boat,2018,13.82,4.06,GRP,Netherlands,154
3883,495000,EUR,275000,Flybridge,Azimut power boats,"Used boat,Diesel",2013,13.46,4.31,GRP,Italy,57
3888,495000,EUR,275000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,16.58,4.92,GRP,Spain,123
3889,495000,EUR,275000,Motor Yacht,Pantera power boats,"Used boat,Diesel",2007,23.85,5.65,GRP,Spain,222
3891,495000,EUR,275000,Trawler,Zijlmans power boats,Used boat,2008,17,4.9,Steel,Netherlands,140
3892,495000,EUR,275000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,14.99,4.65,PVC,France,80
3894,495000,EUR,274999,Motor Yacht,Fipa Italiana power boats,"Used boat,Diesel",2000,21,5,GRP,Croatia,37
3895,495000,EUR,274900,Flybridge,Nimbus power boats,"Used boat,Diesel",2018,13.2,3.95,GRP,Croatia,114
3896,495000,EUR,274900,Flybridge,Sunseeker power boats,"Used boat,Diesel",2010,17.6,4.63,GRP,Spain,178
3897,495000,EUR,274000,Motor Yacht,Aquanaut power boats,"Used boat,Diesel",2016,15,3.78,Steel,Belgium,199
3898,495000,EUR,272000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,19.22,5.05,GRP,France,152
3899,494000,EUR,270000,Motor Yacht,BÃ©nÃ©teau power boats,"Display Model,Diesel",2019,13.43,4.2,GRP,Germany,81
3901,490000,EUR,270000,Motor Yacht,Galeon power boats,"Used boat,Diesel",2016,13.46,3.9,GRP,Germany,193
3902,490000,EUR,270000,Mega Yacht,Azimut power boats,"Used boat,Diesel",1992,29.57,6.03,GRP,Spain,420
3904,489000,EUR,270000,Flybridge,Ferretti power boats,"Used boat,Diesel",2008,16.02,4.94,GRP,Greece,221
3905,489000,EUR,270000,Trawler,Integrity power boats,"Used boat,Diesel",2020,13.8,4.3,GRP,Germany,40
3907,3637500,DKK,270000,Motor Yacht,Navalia power boats,"new boat from stock,Diesel",2003,19.81,5.1,GRP,Denmark,60
3908,445000,Â£,270000,Motor Yacht,Altena power boats,Used boat,1998,16.23,4.8,Steel,United state,67
3909,488000,EUR,270000,Motor Yacht,AICON Yachts power boats,"Used boat,Diesel",2006,22.5,5.3,GRP,Greece,111
3910,3630000,DKK,270000,Hardtop,Sealine power boats,"Used boat,Diesel",2020,13.55,4.2,GRP,Denmark,66
3911,444000,Â£,270000,Flybridge,Princess power boats,"Used boat,Diesel",2005,17.68,4.57,GRP,United state,46
3915,481908,EUR,269900,Motor Yacht,Fjord power boats,"new boat from stock,Diesel",2020,11.5,3.64,PVC,France,57
3918,480000,EUR,269000,Motor Yacht,Benetti power boats,"Used boat,Diesel",1978,23.8,5.8,Steel,Croatia,83
3921,480000,EUR,269000,Flybridge,Dalla Pieta power boats,"Used boat,Diesel",2007,17.86,4.61,GRP,Italy,42
3922,480000,EUR,269000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,14.78,4.15,PVC,France,80
3923,480000,EUR,269000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.73,4.27,PVC,France,73
3924,480000,EUR,269000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,19.84,5.26,GRP,Italy,52
3925,480000,EUR,269000,Flybridge,Azimut power boats,"Used boat,Diesel",2002,22.45,5.51,GRP,Malta,113
3926,480000,EUR,268000,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2000,25.08,5.9,GRP,Greece,110
3928,437506,Â£,265727,Deck Boat,Jeanneau power boats,"new boat from stock,Diesel",2019,15.37,4.57,PVC,United state,74
3929,479900,EUR,265000,Flybridge,Yaretti power boats,"Used boat,Diesel",2005,21.8,5.7,GRP,Croatia,109
3930,479000,EUR,265000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,21.17,5.07,GRP,Croatia,200
3931,479000,EUR,265000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,19.3,5.05,GRP,Croatia,57
3933,479000,EUR,265000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,15.2,4.5,PVC,France,126
3934,470000,EUR,265000,Motor Yacht,Bertram power boats,Used boat,2000,16.46,5.16,GRP,Croatia,68
3935,470000,EUR,265000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2011,15.2,4.5,GRP,Spain,90
3936,470000,EUR,265000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,15.85,4.63,GRP,Croatia,29
3938,470000,EUR,265000,Hardtop,Alfamarine power boats,Used boat,2008,18.96,4.6,GRP,Italy,47
3939,470000,EUR,265000,Flybridge,Canados power boats,"Used boat,Diesel",1997,23.7,6,GRP,Italy,46
3940,469000,EUR,265000,Motor Yacht,Franchini power boats,"Used boat,Diesel",2006,17.15,4.8,GRP,Spain,130
3941,469000,EUR,265000,Motor Yacht,Azimut power boats,Used boat,2015,13.35,4.4,GRP,Finland,76
3942,469000,EUR,263000,Hardtop,Azimut power boats,"Used boat,Diesel",2008,18.41,4.98,GRP,Italy,166
3943,469000,EUR,260000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.78,4.2,PVC,France,41
3944,469000,EUR,260000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,15.73,4.27,PVC,France,41
3945,468000,EUR,260000,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,11.87,3.88,PVC,France,53
3946,465000,EUR,260000,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2005,16.65,4.65,GRP,Portugal,36
3947,465000,EUR,260000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,17.02,4.63,GRP,Croatia,62
3948,465000,EUR,260000,Flybridge,Azimut power boats,"Used boat,Diesel",2002,21.6,5.4,GRP,Italy,103
3950,463000,EUR,260000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,18,4,GRP,Croatia,92
3951,462360,EUR,260000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.88,4.25,PVC,France,34
3952,419950,Â£,260000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2020,13.92,4.09,PVC,United state,53
3954,419950,Â£,260000,Motor Yacht,Sealine power boats,"Used boat,Diesel",2012,15.36,4.76,PVC,United state,31
3955,460428,EUR,259500,Motor Yacht,Fjord power boats,new boat from stock,2020,11.63,3.64,GRP,France,135
3956,460000,EUR,259000,Hardtop,Azimut power boats,"Used boat,Diesel",2004,20.74,5.2,GRP,Italy,92
3957,460000,EUR,259000,Trawler,Linssen power boats,"Used boat,Diesel",2010,14.7,4.45,Steel,Germany,103
3958,460000,EUR,258000,Flybridge,Azimut power boats,"Used boat,Diesel",2007,19.22,5.06,GRP,Italy,333
3960,460000,EUR,256800,Hardtop,Arcoa power boats,"Used boat,Diesel",2008,18.72,4.99,PVC,Monaco,117
3962,459000,EUR,256000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2017,13.86,4.25,GRP,Croatia,168
3963,459000,EUR,256000,Trawler,Integrity power boats,"Used boat,Diesel",2020,13.4,4.3,GRP,Germany,77
3964,459000,EUR,255000,Motor Yacht,Sealine power boats,"Used boat,Diesel",2019,12.5,3.85,GRP,Germany,176
3967,450000,EUR,255000,Motor Yacht,Dalla Pieta power boats,"Used boat,Diesel",2006,17.84,4.93,GRP,Croatia,46
3968,450000,EUR,255000,Flybridge,Fairline power boats,"Used boat,Diesel",2009,15.7,4.49,GRP,Croatia,75
3969,450000,EUR,255000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.25,GRP,Spain,122
3970,450000,EUR,255000,Flybridge,Nimbus power boats,"Used boat,Diesel",2018,13.33,3.86,GRP,Croatia,115
3972,450000,EUR,255000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2007,15.79,4.5,GRP,Croatia,41
3974,450000,EUR,255000,Flybridge,Azimut power boats,"Used boat,Diesel",1997,24.15,5.9,PVC,Turkey,102
3977,450000,EUR,254900,Flybridge,Cayman power boats,"Used boat,Diesel",2008,15,4.5,GRP,Croatia,38
3978,450000,EUR,254000,Flybridge,Cayman power boats,"Used boat,Diesel",2007,19.6,5.07,GRP,Croatia,75
3979,450000,EUR,253370,Flybridge,Sunseeker power boats,"Used boat,Diesel",2008,17.6,4.62,GRP,Croatia,99
3981,450000,EUR,253000,Trawler,Rhea power boats,"Used boat,Diesel",2012,14.85,4.8,GRP,France,82
3982,450000,EUR,252800,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,14.63,4.47,GRP,Spain,74
3983,450000,EUR,250000,Pilothouse,VICEM power boats,"Used boat,Diesel",2009,16.5,4.97,Wood,Spain,79
3984,450000,EUR,250000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,22.1,5.43,GRP,Italy,104
3985,449500,EUR,250000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.3,GRP,Spain,120
3986,449000,EUR,250000,Flybridge,Princess power boats,"Used boat,Diesel",2008,17.83,4.83,GRP,Croatia,72
3988,449000,EUR,250000,Hardtop,Sessa power boats,"new boat from stock,Diesel",2020,13.5,3.99,GRP,Italy,160
3989,449000,EUR,250000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2006,17.35,4.6,GRP,Spain,40
3990,449000,EUR,250000,Motor Yacht,Bavaria power boats,Used boat,2016,13.22,4.41,GRP,Croatia,78
3991,449000,EUR,250000,Motor Yacht,Galeon power boats,"Used boat,Diesel",2016,12.5,4.1,GRP,Spain,73
3992,449000,EUR,250000,Motor Yacht,Sarnico power boats,"Used boat,Diesel",2007,18.52,4.75,GRP,Italy,75
3993,449000,EUR,250000,Flybridge,Galeon power boats,"Used boat,Diesel",2016,12.5,4.16,GRP,Spain,38
3994,449000,EUR,250000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2017,13.33,3.86,GRP,Germany,116
3995,449000,EUR,249900,Flybridge,Astondoa power boats,"Used boat,Diesel",1995,20.26,5.4,GRP,Spain,82
3997,440000,EUR,249900,Motor Yacht,Azimut power boats,"Used boat,Diesel",2009,14.3,4.52,GRP,Croatia,41
3998,440000,EUR,249900,Flybridge,Azimut power boats,"Used boat,Diesel",2009,17.5,4.75,GRP,Italy,68
3999,440000,EUR,249900,Center console boat,Sunseeker power boats,"Used boat,Diesel",2010,13.47,4.3,GRP,Spain,94
4000,440000,EUR,249841,Hardtop,Sunseeker power boats,"Used boat,Diesel",2011,16.17,4.3,GRP,Spain,152
4001,440000,EUR,249500,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,18.88,4.75,GRP,Croatia,37
4002,440000,EUR,249000,Flybridge,Apreamare power boats,Used boat,2013,14.97,4.8,GRP,Italy,89
4003,440000,EUR,249000,"Cabin Boat,Motor Yacht,Offshore Boat",Performance power boats,"Used boat,Unleaded",2013,13.33,3.4,GRP,Italy,345
4004,439000,EUR,249000,Trawler,Linssen power boats,"Used boat,Diesel",2011,14.45,4.4,Steel,Germany,120
4005,439000,EUR,249000,Flybridge,Princess power boats,"Used boat,Diesel",2006,17,4,GRP,Croatia,69
4006,439000,EUR,249000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2008,17.6,4.63,GRP,Spain,189
4007,439000,EUR,249000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2013,15.6,4.5,PVC,France,106
4009,439000,EUR,249000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2004,19,5,GRP,Croatia,139
4010,439000,EUR,249000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,19.86,5.25,GRP,Spain,378
4011,439000,EUR,249000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2012,14.92,4.5,GRP,Germany,148
4012,438000,EUR,248800,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,18.41,4.98,GRP,Croatia,85
4013,438000,EUR,248700,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2010,14.63,4.3,GRP,France,68
4014,399000,Â£,248000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,18.9,5,GRP,United state,75
4015,437000,EUR,248000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,15.1,4.32,PVC,France,58
4016,435000,EUR,247820,Hardtop,Jeanneau power boats,"Used boat,Diesel",2011,14.95,4.5,GRP,Portugal,42
4017,435000,EUR,247000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,17.67,4.59,GRP,Croatia,48
4018,435000,EUR,245000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,16.7,4.74,GRP,Turkey,76
4019,395000,Â£,245000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,15.54,4.3,GRP,Spain,157
4020,433258,EUR,245000,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,13.93,4.1,PVC,France,105
4021,430200,EUR,245000,Motor Yacht,Fjord power boats,"new boat on order,Diesel",2020,12.84,3.99,PVC,France,86
4023,430000,EUR,245000,Center console boat,Sunseeker power boats,"Used boat,Diesel",2001,22.9,5.43,GRP,Italy,258
4024,430000,EUR,244000,Flybridge,Azimut power boats,Used boat,2008,17.48,4.8,GRP,Italy,66
4025,430000,EUR,243000,Flybridge,Princess power boats,"Used boat,Diesel",2008,17.85,4.8,GRP,Croatia,57
4026,430000,EUR,242750,Hardtop,Astondoa power boats,"Used boat,Diesel",2008,15.03,4.6,GRP,Italy,31
4027,430000,EUR,242000,Motor Yacht,Riva power boats,"Used boat,Diesel",2003,18.05,4.72,GRP,Germany,270
4028,427000,EUR,242000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,17.53,4.82,GRP,Germany,87
4030,425310,EUR,240023,Hardtop,Galeon power boats,"new boat from stock,Diesel",2019,13.46,3.9,GRP,Germany,367
4031,425000,EUR,240000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2008,16.21,4.29,GRP,Italy,58
4034,425000,EUR,240000,Motor Yacht,Sunseeker power boats,Used boat,2009,17.35,4.6,GRP,Netherlands,128
4035,459000,CHF,240000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,16.1,4.5,GRP,Croatia,247
4037,385000,Â£,240000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,17.37,4.63,GRP,Croatia,127
4038,455490,CHF,239000,Cabin Boat,De Antonio Yachts power boats,"new boat on order,Unleaded",2020,12.64,3.99,GRP,Switzerland,323
4039,420000,EUR,239000,Flybridge,Sealine power boats,"Used boat,Diesel",2006,18.67,4.87,GRP,Croatia,94
4042,420000,EUR,239000,Flybridge,Burger power boats,"Used boat,Diesel",1985,23.99,5.94,Aluminium,Italy,86
4044,420000,EUR,239000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,14.46,4.62,GRP,Greece,78
4045,420000,EUR,239000,Flybridge,Innovazioni e Progetti power boats,"Used boat,Diesel",2009,17.53,4.65,GRP,Croatia,61
4046,420000,EUR,239000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2009,16.46,4.5,GRP,Malta,20
4047,420000,EUR,239000,Flybridge,Skagen power boats,"Used boat,Diesel",2007,16.19,4.75,GRP,Italy,56
4048,419900,EUR,239000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,14.3,4.52,GRP,Greece,60
4050,419000,EUR,239000,Motor Yacht,Yaretti power boats,"Used boat,Diesel",2006,20,5,GRP,Croatia,83
4051,419000,EUR,239000,Motor Yacht,Canados power boats,"Used boat,Diesel",2017,12.97,4.2,GRP,Spain,124
4053,417417,EUR,239000,Hardtop,Marex power boats,"new boat from stock,Diesel",2020,11.99,3.45,GRP,Switzerland,459
4054,405000,EUR,239000,Flybridge,Sessa power boats,"new boat from stock,Diesel",2020,13.2,3.9,GRP,Italy,115
4055,369000,Â£,239000,Motor Yacht,Princess power boats,"Used boat,Diesel",2017,12.95,3.78,GRP,Poland,68
4056,2999000,DKK,239000,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,11.96,3.75,GRP,Denmark,48
4057,2998000,DKK,239000,Motor Yacht,Marex power boats,"Used boat,Diesel",2019,11.49,3.59,GRP,Denmark,171
4058,2992500,DKK,238900,Hardtop,Princess power boats,"new boat from stock,Diesel",2008,16.36,4.47,GRP,Denmark,69
4060,400000,EUR,238360,Motor Yacht,Baia power boats,"Used boat,Diesel",2001,18.9,5,GRP,Italy,101
4063,400000,EUR,238000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2016,12.56,4.3,GRP,France,51
4065,400000,EUR,235000,Motor Yacht,Maiora power boats,"Used boat,Diesel",1994,23,5.6,GRP,Italy,61
4066,400000,EUR,235000,Flybridge,Ferretti power boats,Used boat,2002,18.3,5.25,GRP,Italy,73
4067,400000,EUR,235000,Flybridge,Azimut power boats,"Used boat,Diesel",2005,17.51,4.75,GRP,Croatia,99
4068,400000,EUR,235000,Hardtop,Rizzardi power boats,Used boat,2010,16,4.4,GRP,Italy,65
4069,400000,EUR,235000,Motor Yacht,Maiora power boats,Used boat,1993,23,5.8,GRP,Netherlands,127
4070,400000,EUR,235000,Motor Yacht,Marine Projects power boats,Used boat,1994,20.9,5.08,GRP,Estonia,50
4071,399990,EUR,235000,Motor Yacht,Elling power boats,"Used boat,Diesel",2014,13.8,4.25,GRP,Germany,115
4072,399900,EUR,235000,Motor Yacht,Absolute power boats,"Used boat,Diesel",2008,16.8,4.66,GRP,Croatia,48
4073,399500,EUR,235000,Flybridge,Seaway power boats,"Used boat,Diesel",2010,16,4,GRP,Croatia,84
4074,399500,EUR,235000,Motor Yacht,Sealine power boats,Used boat,2013,15.5,4.48,GRP,Greece,55
4075,399000,EUR,235000,Mega Yacht,PR Marine power boats,"Used boat,Diesel",1995,21.65,5.8,GRP,Italy,114
4077,399000,EUR,235000,Motor Yacht,Pershing power boats,"Used boat,Diesel",2008,15.23,4.38,GRP,Croatia,130
4078,399000,EUR,234900,Hardtop,Princess power boats,"Used boat,Diesel",2003,20.33,5.08,GRP,Croatia,280
4079,399000,EUR,234800,Flybridge,Dalla Pieta power boats,"Used boat,Diesel",2006,18,4,GRP,Croatia,85
4080,399000,EUR,232000,Sport Boat,Alfamarine power boats,"Used boat,Diesel",2009,18.96,4.6,GRP,Italy,90
4081,399000,EUR,229900,Flybridge,Azimut power boats,"Used boat,Diesel",2013,14,4.8,PVC,Poland,118
4083,399000,EUR,229900,Flybridge,Jeanneau power boats,"Used boat,Diesel",2018,13.73,4.13,PVC,France,58
4086,399000,EUR,229500,Motor Yacht,Brabus power boats,"Used boat,Unleaded",2019,11.28,3.08,GRP,France,128
4087,398000,EUR,229000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2014,13.96,4.25,PVC,France,39
4090,398000,EUR,229000,Trawler,Grand Banks power boats,Used boat,2003,13.11,4,GRP,Netherlands,108
4091,430000,CHF,229000,Sport Boat,SAY power boats,"new boat from stock,Electric",2019,8.85,2.78,Carbon Fiber,Switzerland,402
4092,397500,EUR,229000,Trawler,Smelne power boats,Used boat,2011,13.88,4.42,Steel,Netherlands,60
4093,397500,EUR,229000,Trawler,Integrity power boats,"Used boat,Diesel",2015,14.4,4.35,GRP,Germany,80
4095,397000,EUR,229000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2018,13.73,4.13,PVC,France,22
4096,396000,EUR,229000,Motor Yacht,Pirelli power boats,new boat from stock,2020,13.1,4.1,PVC,France,115
4097,395000,EUR,229000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2016,13.7,4.13,PVC,France,45
4101,395000,EUR,229000,Motor Yacht,Riva power boats,"Used boat,Diesel",2002,18.32,4.75,GRP,France,74
4102,395000,EUR,229000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1996,24,6.08,GRP,Croatia,71
4103,395000,EUR,229000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,15.24,1.4,GRP,Spain,43
4105,395000,EUR,229000,Motor Yacht,Riva power boats,Used boat,2013,10.07,2.8,GRP,Netherlands,115
4107,395000,EUR,229000,Motor Yacht,Sunseeker power boats,Used boat,2000,21,5.2,GRP,Croatia,75
4111,395000,EUR,229000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2006,52.5,16,GRP,Malta,143
4112,395000,EUR,228975,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,14.94,4.29,GRP,Turkey,95
4113,395000,EUR,228000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,16.36,4.47,GRP,Croatia,76
4116,393600,EUR,227500,Motor Yacht,Cranchi power boats,"new boat on order,Diesel",2020,11.7,3.53,PVC,France,86
4117,389000,EUR,225000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,16.12,4.47,GRP,Croatia,40
4119,389000,EUR,225000,Motor Yacht,Invictus power boats,"new boat from stock,Diesel",2020,11.4,3.5,GRP,Germany,139
4122,389000,EUR,225000,Motor Yacht,Prestige Yachts power boats,"Used boat,Diesel",2013,13.96,4.3,GRP,Germany,70
