,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
2683,399000,EUR,2200000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2014,13.96,4.25,PVC,France,87
2684,415000,EUR,2000000,Motor Yacht,Ferretti power boats,"Used boat,Unleaded",2000,19.5,5.1,GRP,Greece,42
2685,415000,EUR,1995000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,13.78,4.3,GRP,Croatia,41
2686,415000,EUR,1995000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2017,12.64,3.97,PVC,France,29
2687,415000,EUR,1990000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,13.88,4.25,PVC,France,87
2688,415000,EUR,1985000,Motor Yacht,Elling power boats,Used boat,2011,14.95,4.25,GRP,Netherlands,67
2691,375000,Â£,1980000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.81,4.18,GRP,United state,127
2692,410000,EUR,1975000,Flybridge,Cayman power boats,"Used boat,Diesel",2007,18.6,5.07,GRP,Italy,58
2693,410000,EUR,1950000,Cabin Boat,Nimbus power boats,"new boat on order,Diesel",2020,10.87,3.4,GRP,Sweden,267
2694,410000,EUR,1950000,Trawler,Grand Banks power boats,"Used boat,Diesel",2005,14.02,4.5,GRP,France,122
2696,409000,EUR,1945000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.1,4.32,PVC,France,67
2697,409000,EUR,1900000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.1,4.32,PVC,France,54
2698,430000,EUR,1890000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,17.48,4.8,GRP,Italy,52
2700,430000,EUR,1875000,Flybridge,Princess power boats,"Used boat,Diesel",2008,17.85,4.8,GRP,Croatia,74
2701,430000,EUR,1850000,Hardtop,Nimbus power boats,"new boat on order,Diesel",2020,11.33,3.4,GRP,Germany,279
2702,430000,EUR,1850000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,13.93,4.1,GRP,Germany,301
2703,429111,EUR,1850000,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",2021,11.5,3.75,GRP,Switzerland,209
2704,429000,EUR,1780000,Catamaran,Fountaine Pajot power boats,"Display Model,Diesel",2018,11,5.1,GRP,Spain,88
2705,429000,EUR,1750000,Hardtop,Bavaria power boats,"Used boat,Diesel",2016,13.22,4.41,GRP,Croatia,105
2706,429000,EUR,1750000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.31,GRP,Spain,74
2707,429000,EUR,1750000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.3,GRP,Spain,100
2708,429000,EUR,1750000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13,4,PVC,Spain,53
2709,429000,EUR,1750000,Motor Yacht,Brabus power boats,"new boat from stock,Unleaded",2019,11.73,3.35,GRP,Germany,325
2710,429000,EUR,1705992,Hardtop,Sunseeker power boats,Used boat,2007,16.32,4.57,GRP,Italy,78
2711,429000,EUR,1700000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2014,15.2,4.5,PVC,France,71
2712,429000,EUR,1700000,Flybridge,Azimut power boats,"Used boat,Diesel",2005,19.25,5.06,GRP,Croatia,73
2714,449000,EUR,1700000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2014,12.52,4.25,GRP,France,95
2716,448000,EUR,1699000,Hardtop,Princess power boats,"Used boat,Diesel",2007,16.12,4.47,GRP,Italy,72
2717,446760,EUR,1699000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.25,PVC,France,80
